행정구역코드,시도명,시군구명,연도,총인구,고령인구_65세이상,의사수_예측,구급차수,응급시설수_총,의사_인구10만명당,구급차_인구10만명당,응급시설_인구10만명당,취약지수,취약지역_여부,목표_의사수,추가_의사수,목표_구급차수,추가_구급차수,목표_응급시설수,추가_응급시설수
47940,경상북도,울릉군,2025,8739.130435,2613.0,20.2,0.0,1.0,231.1442786,0.0,11.44278607,0.649353487,0.0,34.09556568,14.0,1.134584683,2.0,0.241486096,0.0
47930,경상북도,울진군,2025,45352.94118,14649.0,86.53333333,6.0,1.0,190.7998271,13.22957198,2.204928664,0.839259592,0.0,176.9437127,91.0,5.888086093,0.0,1.253225909,1.0
47730,경상북도,의성군,2025,47415.80042,22807.0,94.13333333,6.0,1.0,198.5273527,12.65400973,2.109001622,0.89900609,0.0,184.9919222,91.0,6.155903185,1.0,1.310228357,1.0
47820,경상북도,청도군,2025,39685.77982,17303.0,91.86666667,4.0,1.0,231.4850989,10.07917702,2.519794255,0.889788489,0.0,154.833381,63.0,5.152329313,2.0,1.096626728,1.0
47750,경상북도,청송군,2025,22977.37557,10156.0,48.86666667,5.0,1.0,212.6729684,21.76053564,4.352107129,0.798518269,0.0,89.64583188,41.0,2.983108967,0.0,0.634927783,0.0
47850,경상북도,칠곡군,2025,108935.3234,21896.0,157.5333333,8.0,1.0,144.6118012,7.343807088,0.917975886,0.864218056,0.0,425.0092731,268.0,14.14286584,7.0,3.010181174,3.0
47110,경상북도,포항시,2025,490510.8225,113308.0,1392.2,18.0,5.0,283.8265612,3.669643803,1.019345501,0.893410778,0.0,1913.719459,522.0,63.68208715,46.0,13.5541567,9.0
29200,광주광역시,광산구,2025,412658.5366,50757.0,1183.733333,9.0,9.0,286.8554091,2.180979963,2.180979963,0.735026338,0.0,1609.980117,427.0,53.57467294,45.0,11.40288494,3.0
29155,광주광역시,남구,2025,208103.6036,46199.0,798.9333333,5.0,3.0,383.9113401,2.402649408,1.441589645,0.869068117,0.0,811.9125968,13.0,27.01769505,23.0,5.750472209,3.0
29110,광주광역시,동구,2025,111813.5593,26388.0,1165.066667,4.0,2.0,1041.972614,3.577383659,1.78869183,0.756812238,0.0,436.2386606,0.0,14.51654174,11.0,3.089714711,2.0
